final_species_name,Cro,A,SpC,InC,InB,SpF,DCS,PVS,DS,LS,VnS,NPRC,SbO,GF,EGFS,DHS,M,TL4,FL4,DC,nPVS,nMS,nVrS,nVnS,nInL,nPM,ncPM,nGS,nCRo,nbNSpL,nLS,ncIp,nbCoA,nSpL,nPR,nSbO,nSpC,nbSbOSpL,TL,SVL,sex,n4TL,n4FL,nS4FL,nDlT,nArT,nAlT
E_capetinga,1,1,1,0,0,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,75,57,68,38,7,2,7,30,3,1,7,12,3,7,9,15,8,1,172,69,M,32,21,3,8,35,165
E_capetinga,0,1,1,0,1,1,0,2,1,0,1,0,0,1,0,0,1,0,0,1,56,50,67,36,8,2,6,31,4,1,5,9,4,8,7,13,6,1,122,55,F,30,19,3,12,37,NA
E_capetinga,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,62,58,82,31,9,2,6,37,4,0,5,9,4,8,7,11,5,1,154,61,M,32,21,3,8,37,NA
E_capetinga,1,1,0,0,1,1,0,2,2,0,1,0,0,1,1,1,1,0,0,1,71,55,67,33,7,2,9,38,4,1,6,9,4,8,8,11,7,2,202,73,M,33,20,3,10,31,145
E_capetinga,0,1,1,0,0,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,60,59,68,32,7,2,6,28,4,0,5,11,3,8,8,9,6,0,163,61,M,32,21,2,9,28,NA
E_capetinga,0,1,1,0,0,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,70,54,66,33,7,2,6,29,3,0,5,7,3,8,7,9,7,0,NA,67,M,29,18,4,10,24,NA
E_capetinga,0,1,0,0,1,1,0,2,2,0,1,1,0,1,1,1,1,0,0,1,68,51,60,35,8,2,7,36,4,1,6,10,3,9,7,12,7,1,169,68,M,31,20,3,8,29,NA
E_capetinga,1,0,1,0,2,1,0,2,2,0,1,1,0,1,1,1,1,0,0,1,62,49,70,32,8,2,7,34,4,1,5,9,3,8,8,10,6,1,121,80,F,31,21,3,11,28,NA
E_capetinga,0,1,0,0,1,0,0,2,2,0,1,1,0,1,0,1,1,0,0,1,58,54,64,32,7,2,7,33,3,0,6,9,3,7,7,9,7,1,191,67,M,28,18,2,12,28,NA
E_capetinga,1,1,1,0,0,0,0,2,2,0,1,1,0,1,1,1,1,0,0,1,71,58,75,37,7,2,9,35,4,1,5,9,4,7,7,11,7,1,185,69,M,33,21,3,11,30,167
E_capetinga,1,0,1,0,1,0,0,2,2,0,1,1,0,1,0,0,1,0,0,1,74,54,74,37,8,2,7,30,4,0,5,9,4,7,7,10,5,1,180,70,M,31,20,2,11,32,169
E_capetinga,0,1,1,0,1,1,0,2,2,0,1,1,0,1,1,0,1,0,0,1,63,53,69,31,9,2,6,36,3,0,5,8,3,10,7,11,5,1,200,72,M,32,19,2,10,31,150
E_capetinga,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,1,1,0,0,1,67,53,65,31,8,2,7,38,3,1,5,11,4,8,7,10,7,1,200,74,M,28,20,2,11,30,151
E_capetinga,1,1,0,0,1,0,0,2,2,0,1,0,0,1,0,0,1,0,0,1,72,59,72,35,8,4,7,31,3,1,6,9,4,8,7,7,6,1,175,65,M,29,19,3,10,34,NA
E_capetinga,1,1,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,76,60,74,37,7,2,9,28,3,1,7,9,3,8,8,11,8,1,193,71,M,33,21,3,11,31,159
E_capetinga,0,1,1,0,1,0,0,2,2,0,1,1,0,1,0,1,1,0,0,1,69,51,72,34,8,2,7,37,4,1,5,11,4,7,8,12,7,1,181,68,M,35,23,3,12,28,NA
